method	k	m	lower	upper	right_items	left_items	equation_solutions	candidates	seconds	max_abs_weight	max_abs_partial
mitm	18	48	24453922693	68719476735	262144	196608	0		0.0183228	16911439872	64223258880
mitm	18	49	24453922693	68719476735	262144	196608	2		0.0186384	16643011584	60800795904
mitm	18	50	24453922693	68719476735	262144	196608	0		0.0198188	16106156032	57967800372
mitm	18	51	24453922693	68719476735	262144	196608	0		0.0194989	15032446976	115935641748
mitm	18	52	24453922693	68719476735	262144	196608	0		0.0193145	12885032960	231871103364
mitm	18	53	24453922693	68719476735	262144	196608	0		0.0206813	17179279359	463741584324
mitm	18	54	24453922693	68719476735	262144	196608	0		0.0193755	34358493183	927481661700
mitm	18	55	24453922693	68719476735	262144	196608	0		0.0203867	68716855295	1854960047364
mitm	18	56	24453922693	68719476735	262144	196608	0		0.0189891	137433448448	3709913280516
mitm	19	51	68719476736	274877906943	262144	786432	0		0.0355306	67645748224	256892896512
mitm	19	52	68719476736	274877906943	262144	786432	0		0.0355324	66572021760	243202879488
mitm	19	53	68719476736	274877906943	262144	786432	0		0.0435018	64424570880	231899758644
mitm	19	54	68719476736	274877906943	262144	786432	0		0.0383193	60129673216	463799337108
mitm	19	55	68719476736	274877906943	262144	786432	0		0.0350891	51539886080	927598051716
mitm	19	56	68719476736	274877906943	262144	786432	0		0.0333819	68718231551	1855194596292
mitm	19	57	68719476736	274877906943	262144	786432	0		0.0351418	137436332031	3710385916164
mitm	19	58	68719476736	274877906943	262144	786432	0		0.0374786	274872401919	7420765017348
mitm	19	59	68719476736	274877906943	262144	786432	0		0.0345775	549744279552	14841516142596
mitm	20	54	274877906944	1099511627775	1048576	786432	0		0.0858902	270582968320	1027571281920
mitm	20	55	274877906944	1099511627775	1048576	786432	0		0.0856383	266288033792	972810857472
mitm	20	56	274877906944	1099511627775	1048576	786432	0		0.0888902	257698168832	1030683164820
mitm	20	57	274877906944	1099511627775	1048576	786432	0		0.0923216	240518447104	2061366395268
mitm	20	58	274877906944	1099511627775	1048576	786432	0		0.0896472	206159020032	4122731873220
mitm	20	59	274877906944	1099511627775	1048576	786432	0		0.0901823	274875285503	8245460863236
mitm	20	60	274877906944	1099511627775	1048576	786432	0		0.091314	549750308863	16490914911492
mitm	20	61	274877906944	1099511627775	1048576	786432	0		0.0854957	1099500093439	32981815144452
mitm	20	62	274877906944	1099511627775	1048576	786432	0		0.0891132	2198999138304	65963599883268
mitm	21	57	1099511627776	2375569094237	1048576	3145728	0		0.168239	1082331820032	4110284467200
mitm	21	58	1099511627776	2375569094237	1048576	3145728	1		0.164579	1065152020480	3891242004480
mitm	21	59	1099511627776	2375569094237	1048576	3145728	0		0.172292	1030792429568	4122950697108
mitm	21	60	1099511627776	2375569094237	1048576	3145728	0		0.154686	962073264128	8245900476804
mitm	21	61	1099511627776	2375569094237	1048576	3145728	0		0.172658	824634966016	16491798070212
mitm	21	62	1099511627776	2375569094237	1048576	3145728	0		0.181407	1099506122751	32983589325060
mitm	21	63	1099511627776	2375569094237	1048576	3145728	0		0.173821	2199011721215	65967163970820
mitm	21	64	1099511627776	2375569094237	1048576	3145728	0		0.171908	4398022393855	131934297534468
