index	decimal	base4	digits	hit_index
34	2375569094238	202210122330323121132	21	58
35	5473352509055	1033221131032312121333	22	60
36	9742923197455	2031301303132132300033	22	61
37	152038348048545	202210130233232210202201	24	67
38	353387237261042	1100112131200233223323302	25	69
39	1039642015534604	3230120302011001320320030	25	71
40	2431494812438214	20220312322000210120323012	26	73
41	5217766440390935	102202120133223030311010113	27	75
42	47453708818892663	2220211232112101123030131313	28	79
43	57341012950430378	3023231311203303332023022222	28	79
44	83483048989474328	10220211312100013302023320120	29	81
45	109941116537584214	12012211231303231123223221112	29	81
46	185874140559053788	22110112320233020331001033130	29	82
47	456793165739112664	121112312233123023231023203120	30	84
48	934060406678538399	303312130233312302311030202133	30	85
49	1647070794697469576	1123123210202211011313032322020	31	87
50	3246620754598895144	2310032110011333332101301320220	31	88
51	3550579834394506419	3011012030120300233233333102303	31	88
52	7982155805683268862	12323012110012213323210223303332	32	90
53	61025017088117933230	310323210122123132131122120102232	33	94
54	61186773691624450843	311010203011213312321133132230123	33	94
55	68518494384738384218	323123202211321313022323123211122	33	94
56	107716536038307203097	1131123132000231013312313100200121	34	96
57	134809505490320383002	1310323123210233313320213211300122	34	96
